sl.no.,question,option 1,option 2,option 3,option 4,correct option,question type (img/video),asset name
103,"Identify the feature of SmartPlay Studio shown in the snippet.
(Tuner)",Smart phone linkage,Vehicle Function,Tuner,Media,Tuner,video,103.mp4
104,"Identify the feature of SmartPlay Studio shown in the snippet.
(Media)",Media,Tuner,Vehicle Function,Smart phone linkage,Media,video,104.mp4
105,"Identify the feature of SmartPlay Studio shown in the snippet.
(Smart phone linkage)",Vehicle Function,Smart phone linkage,Media,Tuner,Smart phone linkage,video,105.mp4
106,"Identify the feature of SmartPlay Studio shown in the snippet.
(Vehicle Function)",Media,Tuner,Smart phone linkage,Vehicle Function,Vehicle Function,video,106.mp4
107,"Identify the App shown in the snippet.
(AHA Radio)",Aha Radio,SmartPlay Remote,Navigation (NaviMaps),None of the above,Aha Radio,video,107.mp4
108,"Identify the App shown in the snippet.
(Navigation)",SmartPlay Remote,Navigation (NaviMaps),Aha Radio,None of the above,Navigation (NaviMaps),video,108.mp4
109,"Identify the App shown in the snippet.
(SmartPlay remote)",Navigation (NaviMaps),Aha Radio,SmartPlay Remote,None of the above,SmartPlay Remote,video,109.mp4
110,"How many comfort/conveninece features were shown in the snippet?
(Steering mounted controls, Seatbelts, Cooled glovebox, Projector headlamps)",2,1,3,4,2,video,110.mp4
111,"How many comfort/conveninece features were shown in the snippet?
(Tilt steering, Cooled glovebox, Projector headlamps, Steering mounted controls)",1,4,3,2,3,video,111.mp4
112,"How many comfort/conveninece features were shown in the snippet?
(Steering mounted controls, Telescopic steering, Engine push start/stop, Projector headlamps)",2,3,4,1,3,video,112.mp4
113,"How many comfort/conveninece features were shown in the snippet?
(Electric fold ORVMS, Shark Fin Antenna, Rear A/C vents, Rear Wiper And Washer)",1,2,3,4,3,video,113.mp4
114,"How many comfort/conveninece features were shown in the snippet?
(Electric sunroof, Seatbelts, Cooled glovebox, Projector headlamps)",4,3,1,2,2,video,114.mp4
115,"How many comfort/conveninece features were shown in the snippet?
(Rear Wiper And Washer, Dual tone dashboard, 60:40 Split Rear Seat, Shark fin antenna)",2,4,3,1,2,video,115.mp4
116,"How many comfort/conveninece features were shown in the snippet?
(Steering mounted controls, reverse parking camera, Cooled glovebox, Skid plate garnish)",4,3,1,2,3,video,116.mp4
117,"How many comfort/conveninece features were shown in the snippet?
(360 view camera, Side Airbags, ABS with EBD, Electric Sunroof)",3,1,2,4,2,video,117.mp4
118,"How many comfort/conveninece features were shown in the snippet?
(Head-up display, ESP, Wireless charger, Projector headlamps)",4,1,3,2,2,video,118.mp4
119,"How many comfort/conveninece features were shown in the snippet?
HHA, Telescopic steering, Fast chargeing USB Post, Steering mounted controls)",1,3,2,4,3,video,119.mp4
120,"How many comfort/conveninece features were shown in the snippet?
(Projector headlamps, Voice Command, Cooled glovebox, Rear demister)",2,1,4,3,2,video,120.mp4
